股票代码,股票简称,行业概念,事件概念,交易概念
002368.SZ,太极股份,"网约车,智能终端,数据存储,电子政务,电子信息,网络安全,态势感知,工业互联网,云计算,大数据,数据中心","数字经济,华为鲲鹏,大数据反恐,地方国资改革,数字中国,阿里巴巴,智慧政务,智慧城市,华为,央企国资改革,国产操作系统,中国电科系,国资云","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素,去IOE"
688332.SH,中科蓝讯,,专精特新,"融资融券,新股与次新股,科创次新股,转融券标的"
002733.SZ,雄韬股份,"铝离子电池,氢能源,固态电池,储能,燃料电池,锂电池,质子交换膜,5G,能源互联网,磷酸铁锂,石墨烯,动力电池回收",,"融资融券,转融券标的,半年报预增,富时罗素股,深股通,富时罗素"
301239.SZ,普瑞眼科,眼科医疗,,"融资融券,注册制次新股,新股与次新股,转融券标的"
300012.SZ,华测检测,"环境监测,CRO,PM2.5,体外诊断,现代服务业,塑化剂,废气处理,基因测序,电子商务,土壤修复","食品安全,碳中和,新冠检测","融资融券,转融券标的,富时罗素股,深股通,富时罗素"
605183.SH,确成股份,"新材料,饲料,白炭黑",专精特新,
605369.SH,拱东医疗,医疗器械,,
688553.SH,汇宇制药,仿制药一致性评价,,"融资融券,新股与次新股,科创次新股,转融券标的"
603927.SH,中科软,"互联网医疗,网络安全,数字货币,云计算,大数据,区块链,金融科技,人工智能","华为鲲鹏,中科院系,国产软件,华为,央企国资改革,鸿蒙","MSCI,沪股通"
002568.SZ,百润股份,"鸡尾酒,调味品,电子商务",,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
600771.SH,广誉远,"互联网医疗,白酒,中医药","新冠治疗,健康中国,地方国资改革","老字号,融资融券,转融券标的,富时罗素股,富时罗素"
600585.SH,海螺水泥,"储能,水泥,装配式建筑,光伏","南水北调,一带一路,地方国资改革","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通,证金持股"
688737.SH,中自科技,"燃料电池,氢能源,质子交换膜",专精特新,"融资融券,新股与次新股,科创次新股,转融券标的"
688139.SH,海尔生物,"生物安全,疫苗存储,医疗器械",,"富时罗素,融资融券,沪股通,转融券标的"
603806.SH,福斯特,"太阳能,新材料,光伏,生物医药",,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
688016.SH,心脉医疗,医疗器械,,"融资融券,沪股通,转融券标的"
300990.SZ,同飞股份,"氢能源,储能,激光,节能减排,换电,新能源汽车,高端装备",专精特新,"送转填权,融资融券,转融券标的"
600519.SH,贵州茅台,"白酒,超级品牌","收入改革,大消费,地方国资改革","MSCI,融资融券,标普道琼斯A股,老字号,转融券标的,富时罗素股,富时罗素,沪股通,证金持股"
003019.SZ,宸展光电,云办公,,"人民币贬值受益,半年报预增"
002291.SZ,星期六,"广告营销,文化传媒,虚拟现实,网络直播,虚拟数字人,电子商务","抖音,快手,网红经济","壳资源,融资融券,转融券标的"
000887.SZ,中鼎股份,"医疗器械,充电桩,高铁,电动汽车,汽车电子,燃料电池,汽车热管理,智能汽车,新能源汽车,无人机","军用无人机,蔚来汽车,军工,宁德时代,航天军工,特斯拉","融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
603682.SH,锦和商管,物业管理,室外经济,
000520.SZ,长航凤凰,"航运,航运港口","油价下调,一带一路",债转股(AMC)
603900.SH,莱绅通灵,"奢侈品,黄金",新零售,
002561.SZ,徐家汇,"商超百货,电子商务,移动购物","新零售,地方国资改革","明星参股,融资融券,证金持股,转融券标的"
002991.SZ,甘源食品,,"社区团购,大消费",
601018.SH,宁波港,"航运港口,集装箱","海洋经济,一带一路,地方国资改革","MSCI,分拆上市意愿,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通,证金持股"
600507.SH,方大特钢,"轧板,涉矿,特钢,铁矿石",,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,债转股(AMC),沪股通"
300195.SZ,长荣股份,"医疗器械,柔性屏,烟草,云印刷,锂电池,工业互联网,机器视觉,口罩,机器人,C2M,工业机器人,区块链,高端装备",工业4.0,
600433.SH,冠豪高新,"氢能源,烟草,造纸转暖,可降解塑料,高岭土,纸浆","央企国资改革,诚通系,军工,地方国资改革","人民币升值,融资融券,转融券标的"
002328.SZ,新朋股份,"储能,新能源汽车,芯片,集成电路",特斯拉,创投
002263.SZ,大东南,"煤化工,食品包装,特高压,新材料,光伏,新能源汽车,柔性直流输电,膜材料,石墨烯",地方国资改革,
836260.BJ,中寰股份,,,"送转填权,新股与次新股"
000572.SZ,海马汽车,"氢能源,充电桩,燃料电池,新能源整车,智能汽车,汽车制造,无人驾驶,新能源汽车,车联网,共享汽车",共享经济,"参股民营银行,参股银行,深股通"
000965.SZ,天保基建,大飞机,地方国资改革,参股券商
603359.SH,东珠生态,"水利,土壤修复,节能环保,园林开发","新型城镇化,碳中和,美丽中国,PPP,乡村振兴,碳交易,杭州亚运会",
600340.SH,华夏幸福,"工业用地,通用航空,互联网金融,足球","新型城镇化,PPP,智慧城市,棚户区改造,特色小镇","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
603183.SH,建研院,"绿色建筑,职业教育,海绵城市,建筑节能,装配式建筑",,
300597.SZ,吉大通信,"高校,边缘计算,5G",军工,
002462.SZ,嘉事堂,"医疗器械,冷链物流,医药电商,板蓝根","央企国资改革,地方国资改革",证金持股
603728.SH,鸣志电器,"太空望远镜,黑洞,节能照明,安防,5G,机器人","工业4.0,华为","标普道琼斯A股,沪股通"
601010.SH,文峰股份,,,"参股券商,融资融券,徐翔股,转融券标的"
002681.SZ,奋达科技,"互联网医疗,无线耳机,智能手表,虚拟现实,智能穿戴,智能音箱,机器人,VR设备,无线充电,消费电子,传感器","小米,苹果,华为","人民币贬值受益,富时罗素股"
000717.SZ,韶钢松山,"氢能源,特钢","央企国资改革,地方国资改革","融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
601086.SH,国芳集团,,新零售,参股券商
688520.SH,神州细胞,"重组蛋白,抗肿瘤,创新药,HPV疫苗,生物疫苗,生物医药",新冠治疗,"融资融券,转融券标的"
430198.BJ,微创光电,安防,,
601866.SH,中远海发,"融资租赁,航运,航运港口,集装箱","中远系,航运系,地方国资改革,进口博览会,一带一路,央企国资改革,油价下调","MSCI,融资融券,标普道琼斯A股,转融券标的,参股银行,富时罗素股,富时罗素,沪股通,央企控股"
002972.SZ,科安达,轨道交通,专精特新,
002067.SZ,景兴纸业,"箱板纸,松脂,托育服务,造纸转暖,纸浆,以纸代塑,机器人,工业机器人,绿色电力","嘉兴土改,循环经济","人民币升值,融资融券,创投,转融券标的"
603103.SH,横店影视,"影视娱乐,文化传媒",,"富时罗素,富时罗素股,标普道琼斯A股"
002490.SZ,山东墨龙,"油页岩,页岩气,海工装备,天然气",地方国资改革,"标普道琼斯A股,富时罗素股,股权转让,深股通"
002526.SZ,山东矿机,"3D打印,手机游戏,机器人,涉矿,无人机,工业机器人,高端装备,网络游戏",工业4.0,
603687.SH,大胜达,"数字孪生,物联网,纸浆,烟草",方舱医院,"富时罗素,半年报预增"
600213.SH,亚星客车,"燃料电池,新能源整车,汽车制造,新能源汽车,校车",地方国资改革,"融资融券,转融券标的"
300483.SZ,首华燃气,天然气,"俄乌冲突,露营经济,美丽中国,室外经济",
000932.SZ,华菱钢铁,"核电,智能制造,特钢","军工,地方国资改革","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
300657.SZ,弘信电子,"OLED,无线耳机,元宇宙,MiniLED,汽车电子,电子皮肤,机器人","小米,华为,军工,宁德时代",深股通
002920.SZ,德赛西威,"汽车电子,智能汽车,无人驾驶,北汽新能源,车联网","比亚迪,地方国资改革,理想汽车,小鹏汽车,蔚来汽车,华为,百度,华为汽车","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
300738.SZ,奥飞数据,"网络安全,云计算,边缘计算,大数据,数据中心,光伏",,"富时罗素,送转填权,深股通"
002735.SZ,王子新材,"无线充电,新型烟草,可降解塑料",军工,
300509.SZ,新美星,"机器人,食品包装",工业4.0,创业板重组松绑
603730.SH,岱美股份,新能源汽车,"蔚来汽车,特斯拉","标普道琼斯A股,沪股通"
000529.SZ,广弘控股,"猪肉,养鸡,预制菜,在线教育,冷链物流,小额贷款",地方国资改革,
300370.SZ,*ST安控,"智能建筑,芯片,油气开采,天然气,安防,网络安全,工业互联网,边缘计算,透明工厂","工业4.0,油品改革,智慧城市,新基建",ST板块
603680.SH,今创集团,轨道交通,,标普道琼斯A股
605006.SH,山东玻纤,玻璃纤维,"电力改革,地方国资改革",
000889.SZ,ST中嘉,"富媒体,互联网金融,5G,大数据,区块链,金融科技","美团股,东数西算（算力）,华为","富时罗素,富时罗素股,ST板块,标普道琼斯A股"
002412.SZ,汉森制药,"中医药,幽门螺杆菌,仿制药一致性评价",,"融资融券,参股银行,转融券标的"
000903.SZ,云内动力,"移动支付,充电桩,人脸识别,汽车电子,农机,新能源汽车","乡村振兴,国六标准、国六排放、国六,地方国资改革","融资融券,深股通,转融券标的"
600502.SH,安徽建工,"抽水蓄能,水利,节水灌溉,装配式建筑,绿色电力","新型城镇化,地方国资改革,PPP,一带一路,乡村振兴,三农","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,债转股(AMC),沪股通"
600824.SH,益民集团,"养老,黄金","新零售,三胎,地方国资改革",
300742.SZ,越博动力,"燃料电池,雷达,无人驾驶,电机电控,新能源汽车,车联网",工业4.0,"送转填权,创业板重组松绑"
002157.SZ,正邦科技,"饲料,猪肉,光伏","碳中和,三农,土地流转,猪肉收储","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,参股新三板,富时罗素"
601126.SH,四方股份,"智能电网,储能,特高压,柔性直流输电,光伏,风电","新基建,军工","融资融券,转融券标的"
605055.SH,迎丰股份,,,
836675.BJ,秉扬科技,,专精特新,
600128.SH,弘业股份,"知识产权保护,化肥,跨境电商,黄金","金改,地方国资改革","期货,人民币贬值受益,创投,互联网期货"
300518.SZ,盛讯达,"手机游戏,网络游戏",网红经济,创业板重组松绑
002732.SZ,燕塘乳业,"冷链物流,乳业,电子商务",央企国资改革,养老金持股
002061.SZ,浙江交科,"蜱虫,轨道交通,铁路基建,水利,吡啶,装配式建筑","新型城镇化,地方国资改革,PPP,一带一路,杭州亚运会","标普道琼斯A股,半年报预增,富时罗素股,深股通,富时罗素"
601226.SH,华电重工,"氢能源,超超临界发电,燃料电池,海上风电,机器人,核电,高端装备,风电","央企国资改革,国产替代,一带一路,地方国资改革",
002702.SZ,海欣食品,"预制菜,海底捞",大消费,壳资源
000922.SZ,佳电股份,"节能电机,新能源汽车,机器人,核电,风电","央企国资改革,军工,地方国资改革",央企控股
300404.SZ,博济医药,"CRO,创新药,幽门螺杆菌,肝炎,中医药","新冠治疗,新冠检测,健康中国",
300968.SZ,格林精密,"消费电子,口罩,智能穿戴,智能家居","工业4.0,华为","人民币贬值受益,融资融券,转融券标的"
300254.SZ,仟源医药,"体外诊断,中医药,生物医药,工业用地,仿制药一致性评价,肝炎,基因测序","新冠检测,医保目录",创业板重组松绑
600110.SH,诺德股份,"覆铜板,核电,锂电池,新能源汽车","宁德时代,特斯拉,中科院系,比亚迪","MSCI,融资融券,沪股通,转融券标的"
002515.SZ,金字火腿,"预制菜,涉矿,人造肉","收入改革,网红经济",股权转让
000759.SZ,中百集团,"农业种植,预制菜,商超百货,可降解塑料,免税店,冷链物流,智能物流,便利店,电子商务","统一大市场,新零售,地方国资改革,社区团购,乡村振兴,双十一",
000983.SZ,山西焦煤,"煤炭,焦煤,动力煤,抗寒","循环经济,地方国资改革","MSCI,融资融券,标普道琼斯A股,转融券标的,半年报预增,富时罗素股,深股通,富时罗素"
300326.SZ,凯利泰,医疗器械,专精特新,"融资融券,转融券标的,富时罗素股,深股通,富时罗素"
300453.SZ,三鑫医疗,"医疗器械,口罩",健康中国,创业板重组松绑
000630.SZ,铜陵有色,"钼,金属铜,白银,锂电池,新材料,稀有金属,铜冶炼,金属镍,5G,黄金,小金属,新能源汽车","循环经济,地方国资改革,稀缺资源","MSCI,分拆上市意愿,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
600308.SH,华泰股份,"烧碱,造纸转暖,环氧丙烷,纸浆,环保包装,双氧水",林场改革,"人民币升值,融资融券,转融券标的"
000949.SZ,新乡化纤,"涤纶,粘胶短纤,氨纶",地方国资改革,深股通
002775.SZ,文科园林,"土壤修复,园林开发","美丽中国,恒大,地方国资改革,PPP",
002069.SZ,ST獐子岛,"预制菜,水产品,电子商务","海洋经济,乡村振兴,地方国资改革,水域改革","台湾股,ST板块"
600186.SH,莲花健康,"味精,调味品,人造肉,粮食,土壤修复",大消费,
000711.SZ,京蓝科技,"污水处理,园林开发,水利,物联网,边缘计算,大数据,节水灌溉,土壤修复,区块链","工业4.0,乡村振兴,美丽中国,PPP",股权转让
600361.SH,华联综超,"铝材加工,商超百货",新零售,
600933.SH,爱柯迪,"汽车制造,新能源汽车,一体化压铸",工业4.0,"富时罗素,富时罗素股,沪股通,标普道琼斯A股"
600734.SH,ST实达,"广告营销,文化传媒,电子信息,安防,物联网,5G,智能穿戴","华为,国产操作系统,地方国资改革","创投,ST板块"
000016.SZ,深康佳A,"IPV6,家用电器,MiniLED,芯片,污水处理,智能家居,网约车,智能终端,电视游戏,智能电视,光伏玻璃,超清视频,消费电子","地方国资改革,PPP,腾讯,央企国资改革,王者荣耀","分拆上市意愿,融资融券,标普道琼斯A股,转融券标的,半年报预增,创投,人民币贬值受益,富时罗素股,深股通,富时罗素,央企控股"
601101.SH,昊华能源,"甲醇,煤化工,稀缺煤,煤炭",地方国资改革,"融资融券,转融券标的"
300199.SZ,翰宇药业,"多肽药,互联网医疗,创新药,智能医疗,NMN,新冠疫苗,乙肝治疗,幽门螺杆菌,工业大麻,辅助生殖,口罩,仿制药一致性评价,肝炎","新冠检测,新冠治疗,猴痘,三胎,医保目录","创投,融资融券,富时罗素股,转融券标的"
300201.SZ,*ST海伦,"电力物联网,智能电网,锂电池,工业互联网,机器人,工业机器人,消防装备","工业4.0,棚户区改造,军工,军民融合","分拆上市意愿,ST板块"
601113.SH,华鼎股份,"锦纶,氨纶,跨境电商,污水处理",,"摘帽,半年报预增"
002631.SZ,德尔未来,"柔性屏,智能家居,造纸转暖,碳基材料,C2M,石墨烯,节能环保",,"融资融券,转融券标的"
688010.SH,福光股份,"安防,区块链,超清视频","军民融合,华为,军工,专精特新","融资融券,转融券标的"
002029.SZ,七匹狼,"互联网保险,口罩,电子商务,抗寒",,"融资融券,参股保险,转融券标的,人民币贬值受益,证金持股"
600449.SH,宁夏建材,"水泥,工程建材,石灰石","央企国资改革,一带一路,地方国资改革,中材系","融资融券,转融券标的"
600843.SH,上工申贝,"工业互联网,碳纤维,机器人,融资租赁,工业机器人",,
000552.SZ,靖远煤电,"煤化工,动力煤,超超临界发电,煤炭,涉矿",地方国资改革,"标普道琼斯A股,融资融券,半年报预增,转融券标的,富时罗素股"
002078.SZ,太阳纸业,"食品包装,纸浆,造纸转暖,代糖",,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素,人民币升值"
600548.SH,深高速,"汽车拆解,无感支付,风电","百度,地方国资改革","融资融券,标普道琼斯A股,转融券标的,参股银行,参股券商,富时罗素股,富时罗素,沪股通"
600789.SH,鲁抗医药,"MERS,兽药,阿尔茨海默,生物医药,登革热,仿制药一致性评价,肝炎","禽流感,地方国资改革,西尼罗病毒,超级真菌,埃博拉,寨卡病毒,医保目录,流感,医疗改革","融资融券,转融券标的"
000768.SZ,中航西飞,"大飞机,预警机,国产航母","地方国资改革,中航系,军工,央企国资改革,航天军工","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素,证金持股"
600846.SH,同济科技,"高校,垃圾分类,污水处理","迪士尼,地方国资改革,PPP","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
832000.BJ,安徽凤凰,新能源汽车,专精特新,
000961.SZ,中南建设,"征信,养老,数据交易中心,海绵城市,区块链应用,机器人,区块链,服务机器人","棚户区改造,PPP","融资融券,标普道琼斯A股,参股保险,转融券标的,富时罗素股,深股通,富时罗素"
603367.SH,辰欣药业,"肝素,抗肿瘤,生物医药,仿制药一致性评价",医保目录,标普道琼斯A股
600307.SH,酒钢宏兴,"核电,特钢,铁矿石","国产替代,地方国资改革","融资融券,转融券标的"
688619.SH,罗普特,"虚拟现实,安防,网络安全,物联网,边缘计算,机器视觉,人工智能","智慧城市,军工","融资融券,转融券标的"
835174.BJ,五新隧装,,,新股与次新股
300634.SZ,彩讯股份,"数字营销,富媒体,虚拟现实,网络安全,云办公,5G,大数据,区块链","华为鲲鹏,智慧政务,鸿蒙,华为","参股新三板,深股通"
600966.SH,博汇纸业,"纸浆,双胶纸,以纸代塑,造纸转暖",,"人民币升值,融资融券,沪股通,转融券标的"
600895.SH,张江高科,"REITs,新能源汽车","蚂蚁金服,地方国资改革,租售同权","MSCI,融资融券,标普道琼斯A股,转融券标的,创投,参股券商,富时罗素股,新兴板,参股新三板,富时罗素,沪股通,证金持股"
870204.BJ,沪江材料,,,"送转填权,新股与次新股"
002598.SZ,山东章鼓,"固态电池,污水处理,超级电容,储能,锂电池,机器人,核电,钠离子电池","方舱医院,地方国资改革",
300324.SZ,旋极信息,"数字孪生,大飞机,芯片,航空航天,物联网,网络安全,光伏建筑一体化,大数据,数据中心,区块链,光伏","数字经济,阿里巴巴,智慧政务,冬奥会,智慧城市,华为,军工","融资融券,参股民营银行,转融券标的,独角兽,富时罗素股,深股通,富时罗素"
002550.SZ,千红制药,"肝炎,生物医药,抗癌,仿制药一致性评价,肝素",新冠检测,"富时罗素,人民币贬值受益,富时罗素股,半年报预增"
605100.SH,华丰股份,"汽车电子,汽车制造,传感器,数据中心",国六标准、国六排放、国六,
601958.SH,金钼股份,"OLED,辉钼,钼,稀有金属,靶材,小金属,铀矿","军工,地方国资改革","MSCI,融资融券,标普道琼斯A股,转融券标的,半年报预增,富时罗素股,富时罗素"
600647.SH,同达创业,数字电视,央企国资改革,债转股(AMC)
002177.SZ,*ST御银,"指纹技术,人脸识别,村镇银行,区块链储备,互联网金融,虹膜识别,数字货币,ATM机,NFC,区块链","新版人民币,国产操作系统,国产替代","创投,ST板块"
002165.SZ,红宝丽,"新材料,环氧丙烷,分离膜,岩棉,建筑节能",,壳资源
600796.SH,钱江生化,"蜱虫,污水处理,草地贪夜蛾防治,兽药,土壤修复,吡啶",地方国资改革,
000518.SZ,四环生物,"肾透析,体外诊断,干细胞,生物医药,抗癌,登革热,肝炎",医保目录,
301073.SZ,君亭酒店,"预制菜,旅游",,"融资融券,新股与次新股,转融券标的,送转填权,注册制次新股"
300045.SZ,华力创通,"数字孪生,芯片,轨道交通,虚拟现实,雷达,态势感知,地理信息,网络安全,无人驾驶,增强现实,农机,卫星导航,车联网,无人机,遥感技术","军工,军民融合,航天军工","创投,独角兽"
600468.SH,百利电气,"太赫兹,芯片,智能电网,稀有金属,超导","军工,地方国资改革",
600719.SH,ST热电,,地方国资改革,ST板块
600022.SH,山东钢铁,,地方国资改革,"融资融券,转融券标的"
000607.SZ,华媒控股,"幼儿教育,平面媒体,文化传媒,NFT,托育服务,物流电商平台,职业教育,知识产权保护,在线教育,区块链,网络视频","阿里巴巴,快手,融媒体,三胎,杭州亚运会","融资融券,创投,转融券标的"
000952.SZ,广济药业,"生物医药,维生素","医疗改革,医保目录,地方国资改革",
601107.SH,四川成渝,充电桩,地方国资改革,"融资融券,标普道琼斯A股,转融券标的,创投,富时罗素股,富时罗素,沪股通"
000620.SZ,新华联,旅游,蚂蚁金服,"融资融券,标普道琼斯A股,转融券标的,参股银行,富时罗素股,参股万达商业,富时罗素"
002940.SZ,昂利康,"幽门螺杆菌,仿制药一致性评价",,
002087.SZ,新野纺织,"棉纱,供销社","土地流转,地方国资改革",参股银行
300925.SZ,法本信息,"智能汽车,云计算,SAAS,车联网,区块链","国产软件,抖音,华为,京东","送转填权,融资融券,转融券标的"
001209.SZ,洪兴股份,"网络直播,IP,跨境电商,电子商务",三胎,
601618.SH,中国中冶,"基建工程,金属铜,钴,污水处理,多晶硅,金属镍,锂电原料,小金属,高端装备,装配式建筑,光伏","地方国资改革,PPP,一带一路,央企国资改革,马歇尔计划","MSCI,融资融券,标普道琼斯A股,转融券标的,中字头股票,富时罗素股,富时罗素,沪股通,证金持股,央企控股"
300937.SZ,药易购,医药电商,,"融资融券,转融券标的"
603987.SH,康德莱,医疗器械,专精特新,分拆上市意愿
603156.SH,养元饮品,网络直播,大消费,"MSCI,标普道琼斯A股,融资融券,转融券标的,富时罗素股"
601880.SH,辽港股份,"区块链,航运港口","统一大市场,一带一路,央企国资改革","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
003042.SZ,中农联合,"供销社,草甘膦",乡村振兴,半年报预增
603168.SH,莎普爱思,"眼科医疗,中医药,生物医药","民营医院,三胎",
600325.SH,华发股份,"REITs,保障房","地方国资改革,租售同权","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通,证金持股"
000923.SZ,河钢资源,"涉矿,铁矿石,铜冶炼,金属铜",地方国资改革,深股通
601339.SH,百隆东方,棉纱,,"人民币贬值受益,融资融券,参股银行,转融券标的"
300374.SZ,中铁装配,"绿色建筑,建筑节能,装配式建筑","中铁系,地方国资改革,方舱医院,一带一路,乡村振兴,央企国资改革","创业板重组松绑,中字头股票"
831768.BJ,拾比佰,新材料,华为,
688739.SH,成大生物,生物疫苗,地方国资改革,"融资融券,新股与次新股,科创次新股,转融券标的"
000959.SZ,首钢股份,"新能源,铁矿石","厚朴系,特斯拉,循环经济,地方国资改革","融资融券,标普道琼斯A股,转融券标的,创投,富时罗素股,深股通,北交所,富时罗素"
002212.SZ,天融信,"量子科技,人工智能,数据安全,网络安全,态势感知,工业互联网,物联网,大数据,云办公,云计算,车联网,VPN,EDR","华为鲲鹏,一带一路,国产软件,腾讯,智慧政务,智慧城市,智慧灯杆,鸿蒙","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
600403.SH,大有能源,煤炭,地方国资改革,"摘帽,半年报预增"
603001.SH,奥康国际,"C2M,体育产业,体育用品,电子商务",新零售,"融资融券,参股民营银行,转融券标的"
601966.SH,玲珑轮胎,"汽车制造,体育产业",比亚迪,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
603836.SH,海程邦达,,统一大市场,
002752.SZ,昇兴股份,,抖音,
601568.SH,北元集团,"煤化工,分布式发电,水泥,新能源,PVC,烧碱","循环经济,地方国资改革",
300190.SZ,维尔利,"污水处理,固废处理,危废处理,土壤修复,垃圾分类,节能环保","碳中和,PPP,碳交易,美丽中国,专精特新",参股新三板
000419.SZ,通程控股,村镇银行,"新零售,金改,地方国资改革","参股保险,参股银行"
601789.SH,宁波建工,"基建工程,量子科技,轨道交通,园林开发,水利,云计算,装配式建筑,边缘计算,大数据,数据中心,区块链,VPN","新型城镇化,一带一路,地方国资改革,PPP","融资融券,标普道琼斯A股,转融券标的,参股券商,富时罗素"
603116.SH,红蜻蜓,"C2M,电子商务",新零售,"参股民营银行,参股券商"
002137.SZ,实益达,"数字营销,消费电子,无线耳机,芯片,广告营销,文化传媒,节能照明,区块链应用,5G,SAAS,新能源汽车,区块链,金融科技,智能穿戴","微信小程序,网红经济,抖音,华为,小米","参股新三板,半年报预增"
600558.SH,大西洋,"核电,涉矿,新材料,超超临界发电","军工,地方国资改革",
000150.SZ,*ST宜康,"互联网医疗,生物安全,智能医疗,养老,医美","民营医院,健康中国","标普道琼斯A股,富时罗素股,ST板块"
002496.SZ,辉丰股份,"医疗废物处理,草地贪夜蛾防治,新型杀菌剂,LNG加气站,电子商务","农村电商,乡村振兴","摘帽,参股民营银行"
600531.SH,豫光金铅,"金属铜,白银,小金属,固废处理,黄金,涉矿","地方国资改革,稀缺资源","融资融券,标普道琼斯A股,转融券标的,股权转让,富时罗素股,富时罗素,沪股通"
002873.SZ,新天药业,"创新药,仿制药,中医药,HPV疫苗","新冠治疗,医保目录",
000852.SZ,石化机械,"煤层气,氢能源,油气装备,海工装备,天然气,页岩气,油页岩,高端装备,可燃冰","俄乌冲突,地方国资改革,一带一路,海洋经济,央企国资改革,油品改革,两桶油改革","融资融券,半年报预增,转融券标的"
000752.SZ,*ST西发,啤酒,大消费,ST板块
600782.SH,新钢股份,,地方国资改革,"分拆上市意愿,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
300850.SZ,新强联,"海工装备,高端装备,风电",国产替代,"MSCI,送转填权,深股通"
300557.SZ,理工光科,"物联网,无人驾驶,传感器","央企国资改革,国产操作系统,地方国资改革",创业板重组松绑
600729.SH,重庆百货,"消费金融,商超百货,互联网金融","收入改革,新零售,宝能系","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通,证金持股"
300047.SZ,天源迪科,"人力资源服务,富媒体,移动支付,IPV6,互联网金融,职业教育,网络安全,数字货币,云计算,云办公,5G,大数据,在线教育,机器人,区块链,人工智能","华为鲲鹏,电信业整合,数字中国,华为欧拉,阿里巴巴,疫情监测,国产软件,腾讯,智慧政务,乡村振兴,智慧城市,华为,军工,蚂蚁金服,易信,鸿蒙","澳交所,参股新三板"
688658.SH,悦康药业,"仿制药,创新药,幽门螺杆菌,仿制药一致性评价,中医药",新冠治疗,"融资融券,转融券标的"
002969.SZ,嘉美包装,"食品包装,电子商务",,
688323.SH,瑞华泰,新材料,,"融资融券,转融券标的"
430047.BJ,诺思兰德,"眼科医疗,重组蛋白",,
600742.SH,一汽富维,"新能源汽车,智能汽车,传感器",地方国资改革,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通,央企控股"
600515.SH,ST基础,"海岛整治修复,免税店,聚土地","土地流转,海航系,土地增值,地方国资改革",ST板块
600170.SH,上海建工,"住房租赁,水利,光伏建筑一体化,保障房,黄金,核电,涉矿,装配式建筑,土壤修复","碳中和,地方国资改革,PPP,方舱医院,一带一路,迪士尼","MSCI,融资融券,标普道琼斯A股,转融券标的,参股券商,富时罗素股,富时罗素,沪股通,证金持股"
002581.SZ,未名医药,"肝炎,新型杀菌剂,生物疫苗,生物医药",超级真菌,"富时罗素股,股权转让"
603113.SH,金能科技,"煤化工,氢能源,炭黑,焦炭,聚丙烯,煤炭,甲醇,粗苯,光伏,白炭黑",,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
870436.BJ,大地电气,新能源汽车,,新股与次新股
600409.SH,三友化工,"煤化工,有机硅,涉矿,粘胶短纤,消毒剂,PVC,烧碱",央企国资改革,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
603815.SH,交建股份,"地下管网,基建工程,水利","新型城镇化,乡村振兴,一带一路,PPP",
601068.SH,中铝国际,盐湖提锂,"央企国资改革,一带一路,地方国资改革,PPP","标普道琼斯A股,半年报预增,中字头股票,富时罗素股,富时罗素,沪股通"
600117.SH,西宁特钢,"焦炭,特钢,轧板,铁路基建,保障房,稀缺煤","军工,地方国资改革",
831370.BJ,新安洁,,,
831726.BJ,朱老六,,,
833427.BJ,华维设计,,,
838030.BJ,德众汽车,,,
838163.BJ,方大股份,,,
838275.BJ,驱动力,,,
839729.BJ,永顺生物,,,
873169.BJ,七丰精工,,,
