股票代码,股票简称,概念名称,行业概念,事件概念,交易概念
603518.SH,锦泓集团,"抖音,电子商务,三胎,露营经济,网络直播,新零售","电子商务,网络直播","新零售,抖音,三胎,露营经济",
688337.SH,普源精电,"融资融券,新股与次新股,科创次新股",,,"新股与次新股,科创次新股,融资融券"
301188.SZ,力诺特玻,"医疗器械,新股与次新股,注册制次新股,融资融券",医疗器械,,"新股与次新股,注册制次新股,融资融券"
603739.SH,蔚蓝生物,"化肥,幽门螺杆菌,动物疫苗,CRO","化肥,幽门螺杆菌,动物疫苗,CRO",,
300128.SZ,锦富技术,"华为,噪声防治,消费电子,融资融券,宁德时代","噪声防治,消费电子","华为,宁德时代",融资融券
600825.SH,新华传媒,"上海国资改革,独角兽,创投,融资融券,文化传媒",文化传媒,,"创投,独角兽,融资融券"
600727.SH,鲁北化工,"钛白粉,水泥,磷化工,化肥,煤化工","钛白粉,水泥,磷化工,化肥,煤化工",,
600530.SH,交大昂立,"幽门螺杆菌,养老,电子商务","幽门螺杆菌,电子商务,养老",,
600798.SH,宁波海运,"融资融券,一带一路,航运,中俄贸易",航运,一带一路,融资融券
300775.SZ,三角防务,"军工,专精特新,深股通,海工装备,航空发动机","海工装备,航空发动机","专精特新,军工",深股通
600863.SH,内蒙华电,"光伏,半年报预增,超超临界发电,MSCI,央企国资改革,标普道琼斯A股,绿色电力,证金持股,风电,融资融券,煤炭","光伏,超超临界发电,风电,绿色电力,煤炭",央企国资改革,"半年报预增,MSCI,证金持股,融资融券,标普道琼斯A股"
002154.SZ,报喜鸟,"大数据,创投,C2M,融资融券","大数据,C2M",,"创投,融资融券"
600939.SH,重庆建工,"水利,地下管网,一带一路,装配式建筑","地下管网,水利,装配式建筑",一带一路,
600419.SH,天润乳业,"乳业,新疆振兴",乳业,,
600595.SH,中孚实业,"半年报预增,摘帽",,,"半年报预增,摘帽"
002391.SZ,长青股份,"乡村振兴,草地贪夜蛾防治,节能环保","草地贪夜蛾防治,节能环保",乡村振兴,
600197.SH,伊力特,"沪股通,白酒,融资融券,标普道琼斯A股",白酒,,"标普道琼斯A股,沪股通,融资融券"
600649.SH,城投控股,"上海国资改革,参股银行,创投,参股券商,融资融券,REITs",REITs,,"创投,参股银行,参股券商,融资融券"
300253.SZ,卫宁健康,"区块链,人工智能,智能医疗,蚂蚁金服,MSCI,互联网医疗,融资融券,深股通,国产软件,DRG/DIP,智慧城市,健康中国,家庭医生,互联网保险","区块链,人工智能,家庭医生,智能医疗,互联网医疗,DRG/DIP,互联网保险","智慧城市,国产软件,蚂蚁金服,健康中国","深股通,MSCI,融资融券"
871642.BJ,通易航天,"新材料,军工",新材料,军工,
603203.SH,快克股份,"苹果,高端装备,智能穿戴,专精特新,OLED,工业互联网,机器人,机器视觉,富士康,新能源汽车","高端装备,智能穿戴,工业互联网,OLED,机器人,机器视觉,新能源汽车","专精特新,富士康,苹果",
600765.SH,中航重机,"沪股通,半年报预增,军工,高端装备,MSCI,央企国资改革,军民融合,标普道琼斯A股,国产航母,融资融券,大飞机,航空发动机","大飞机,航空发动机,国产航母,高端装备","军工,央企国资改革,军民融合","沪股通,半年报预增,MSCI,融资融券,标普道琼斯A股"
688425.SH,铁建重工,"抽水蓄能,央企国资改革,高端装备,融资融券","抽水蓄能,高端装备",央企国资改革,融资融券
600365.SH,ST通葡,"白酒,ST板块,电子商务,健康中国","白酒,电子商务",健康中国,ST板块
002802.SZ,洪汇新材,"人民币贬值受益,风电",风电,,人民币贬值受益
300245.SZ,天玑科技,"大数据,区块链,华为,融资融券,智慧城市,云计算,国产软件,阿里巴巴,数据中心,国产操作系统,长三角一体化,智慧政务","大数据,区块链,云计算,数据中心","华为,智慧城市,国产软件,阿里巴巴,国产操作系统,智慧政务",融资融券
603118.SH,共进股份,"沪股通,5G,F5G,基因测序,智能医疗,虚拟现实,智能家居,传感器,芯片,物联网,融资融券,标普道琼斯A股,医疗器械","5G,F5G,基因测序,智能医疗,虚拟现实,智能家居,传感器,芯片,物联网,医疗器械",,"标普道琼斯A股,沪股通,融资融券"
600795.SH,国电电力,"沪股通,MSCI,央企国资改革,绿色电力,证金持股,风电,融资融券,标普道琼斯A股","绿色电力,风电",央企国资改革,"沪股通,MSCI,证金持股,融资融券,标普道琼斯A股"
688701.SH,卓锦股份,"节能环保,科创次新股,污水处理,融资融券,土壤修复,新股与次新股","土壤修复,污水处理,节能环保",,"新股与次新股,科创次新股,融资融券"
000153.SZ,丰原药业,"金改,代糖,眼科医疗,生物医药","代糖,眼科医疗,生物医药",金改,
603551.SH,奥普家居,"杭州亚运会,华为,智能家居,家用电器","家用电器,智能家居","杭州亚运会,华为",
000639.SZ,西王食品,"体育产业,NMN,融资融券,新零售,阿里巴巴,健康中国,标普道琼斯A股","体育产业,NMN","新零售,阿里巴巴,健康中国","标普道琼斯A股,融资融券"
000006.SZ,深振业A,"物业管理,深圳国资改革,证金持股,融资融券,标普道琼斯A股,粤港澳大湾区",物业管理,,"标普道琼斯A股,证金持股,融资融券"
831832.BJ,科达自控,"智能制造,华为,机器人,物联网,新股与次新股","智能制造,物联网,机器人",华为,新股与次新股
300625.SZ,三雄极光,"举牌,电子商务,智慧灯杆,跨境电商,节能照明,恒大","跨境电商,电子商务,节能照明","恒大,智慧灯杆",
603416.SH,信捷电气,"沪股通,工业4.0,机器视觉,机器人","机器视觉,机器人",工业4.0,沪股通
300785.SZ,值得买,"抖音,送转填权,电子商务,拼多多,新零售,NFT,阿里巴巴","NFT,电子商务","拼多多,新零售,抖音,阿里巴巴",送转填权
688296.SH,和达科技,"水利,专精特新,地下管网,污水处理,物联网,融资融券","物联网,地下管网,污水处理,水利",专精特新,融资融券
002551.SZ,尚荣医疗,"养老,独角兽,健康中国,口罩,医疗器械","口罩,养老,医疗器械",健康中国,独角兽
688228.SH,开普云,"大数据,元宇宙,专精特新,虚拟数字人,华为,云计算,国产软件,融资融券,人工智能,智慧政务","大数据,元宇宙,虚拟数字人,云计算,人工智能","华为,智慧政务,国产软件,专精特新",融资融券
600496.SH,精工钢构,"雄安新区,杭州亚运会,NMN,光伏建筑一体化,装配式建筑,冬奥会,新型城镇化","光伏建筑一体化,装配式建筑,NMN","冬奥会,新型城镇化,杭州亚运会",
002973.SZ,侨银股份,"医疗废物处理,垃圾分类,节能环保,PPP,乡村振兴,绿色电力,数字乡村,污水处理","医疗废物处理,垃圾分类,节能环保,绿色电力,污水处理","乡村振兴,数字乡村,PPP",
688565.SH,力源科技,"共同富裕示范区,节能环保,超超临界发电,专精特新,核电,燃料电池,污水处理,融资融券","节能环保,超超临界发电,核电,燃料电池,污水处理",专精特新,融资融券
301096.SZ,百诚医药,"幽门螺杆菌,仿制药一致性评价,融资融券,CRO,新股与次新股,注册制次新股","幽门螺杆菌,仿制药一致性评价,CRO",,"新股与次新股,注册制次新股,融资融券"
688589.SH,力合微,"半年报预增,专精特新,芯片,电力物联网,物联网,融资融券","芯片,电力物联网,物联网",专精特新,"半年报预增,融资融券"
002981.SZ,朝阳科技,"无线耳机,半年报预增,智能穿戴,小米,消费电子,苹果","无线耳机,消费电子,智能穿戴","小米,苹果",半年报预增
601398.SH,工商银行,"沪股通,跨境支付（CIPS）,MSCI,证金持股,融资融券,标普道琼斯A股",跨境支付（CIPS）,,"沪股通,MSCI,证金持股,融资融券,标普道琼斯A股"
000881.SZ,中广核技,"可降解塑料,5G,雄安新区,医疗废物处理,央企国资改革,标普道琼斯A股,核电,幽门螺杆菌,深股通,一带一路,污水处理,医疗器械,大飞机,新材料","5G,可降解塑料,医疗废物处理,核电,幽门螺杆菌,污水处理,医疗器械,大飞机,新材料","一带一路,央企国资改革","标普道琼斯A股,深股通"
002646.SZ,天佑德酒,"白酒,粮食,深股通,融资融券","白酒,粮食",,"深股通,融资融券"
688766.SH,普冉股份,"华为,小米,芯片,MCU芯片,融资融券","芯片,MCU芯片","华为,小米",融资融券
601512.SH,中新集团,"沪股通,充电桩,创投,参股券商,长三角一体化,新型城镇化",充电桩,新型城镇化,"沪股通,参股券商,创投"
601156.SH,东航物流,"统一大市场,沪股通,央企国资改革,冷链物流",冷链物流,"统一大市场,央企国资改革",沪股通
002927.SZ,泰永长征,"比亚迪,智能电网,充电桩,专精特新","充电桩,智能电网","比亚迪,专精特新",
000632.SZ,三木集团,"海峡两岸,物业管理,露营经济,创投,跨境电商,福建自贸区","跨境电商,物业管理","海峡两岸,露营经济",创投
688120.SH,华海清科,"半年报预增,专精特新,科创次新股,央企国资改革,融资融券,新股与次新股",,"专精特新,央企国资改革","半年报预增,新股与次新股,科创次新股,融资融券"
600809.SH,山西汾酒,"沪股通,同花顺漂亮100,MSCI,标普道琼斯A股,融资融券,白酒",白酒,,"标普道琼斯A股,MSCI,沪股通,融资融券"
002403.SZ,爱仕达,"土地流转,换电,减速器,人民币贬值受益,特斯拉,独角兽,机器人,工业4.0,新零售,家用电器,机器视觉,参股新三板,互联网保险,智能物流","换电,减速器,机器人,家用电器,机器视觉,互联网保险,智能物流","工业4.0,新零售,土地流转,特斯拉","参股新三板,人民币贬值受益,独角兽"
600425.SH,青松建化,"半年报预增,水泥,新疆振兴,一带一路,融资融券",水泥,一带一路,"半年报预增,融资融券"
688009.SH,中国通号,"沪股通,华为,MSCI,央企国资改革,中字头股票,融资融券,高铁",高铁,"华为,央企国资改革","沪股通,中字头股票,MSCI,融资融券"
834639.BJ,晨光电缆,"半年报预增,新股与次新股",,,"半年报预增,新股与次新股"
688012.SH,中微公司,"沪股通,区块链,MSCI,融资融券,MiniLED,国家大基金持股,集成电路,中芯国际","集成电路,MiniLED,区块链",中芯国际,"沪股通,国家大基金持股,MSCI,融资融券"
002836.SZ,新宏泽,"口罩,烟草","口罩,烟草",,
002867.SZ,周大生,"黄金,电子商务,创投,深股通,标普道琼斯A股","黄金,电子商务",,"标普道琼斯A股,深股通,创投"
300300.SZ,海峡创新,"区块链,人脸识别,家庭医生,智能医疗,海峡两岸,互联网医疗,养老,独角兽,创投,融资融券,福建自贸区,智慧城市,数据中心,文化传媒,人工智能","区块链,人脸识别,人工智能,智能医疗,互联网医疗,养老,数据中心,文化传媒,家庭医生","海峡两岸,智慧城市","创投,独角兽,融资融券"
603871.SH,嘉友国际,"统一大市场,半年报预增,中俄贸易,冷链物流,一带一路,标普道琼斯A股",冷链物流,"统一大市场,一带一路","标普道琼斯A股,半年报预增"
600592.SH,龙溪股份,"军工,军民融合,机器人,融资融券,大飞机","大飞机,机器人","军工,军民融合",融资融券
002687.SZ,乔治白,"壳资源,创投",,,"壳资源,创投"
300290.SZ,荣科科技,"大数据,区块链,疫情监测,人工智能,智能医疗,专精特新,华为,互联网医疗,电子商务,独角兽,网络安全,智慧城市,云计算,DRG/DIP,国产软件,股权转让,家庭医生,智慧政务","大数据,区块链,人工智能,智能医疗,电子商务,互联网医疗,网络安全,云计算,DRG/DIP,家庭医生","疫情监测,华为,专精特新,智慧城市,国产软件,智慧政务","股权转让,独角兽"
002729.SZ,好利科技,"集成电路,光伏","光伏,集成电路",,
601658.SH,邮储银行,"沪股通,MSCI,融资融券",,,"沪股通,MSCI,融资融券"
300984.SZ,金沃股份,"送转填权,融资融券",,,"送转填权,融资融券"
002807.SZ,江阴银行,"标普道琼斯A股,深股通",,,"标普道琼斯A股,深股通"
688607.SH,康众医疗,融资融券,,,融资融券
603808.SH,歌力思,"虚拟数字人,电子商务,网络直播,新零售,NFT,C2M,标普道琼斯A股,网红经济","虚拟数字人,电子商务,网络直播,NFT,C2M","新零售,网红经济",标普道琼斯A股
002465.SZ,海格通信,"5G,军工,虚拟现实,无人机,MSCI,国产航母,军民融合,芯片,深股通,国产软件,卫星导航,融资融券,标普道琼斯A股,国产操作系统,人工智能,物联网,分拆上市意愿","5G,无人机,虚拟现实,国产航母,芯片,物联网,人工智能,卫星导航","国产操作系统,军民融合,军工,国产软件","MSCI,深股通,融资融券,标普道琼斯A股,分拆上市意愿"
601898.SH,中煤能源,"沪股通,半年报预增,央企国资改革,标普道琼斯A股,中字头股票,证金持股,融资融券,煤炭,煤化工","煤炭,煤化工",央企国资改革,"沪股通,半年报预增,中字头股票,证金持股,融资融券,标普道琼斯A股"
000668.SZ,荣丰控股,医疗器械,医疗器械,,
000561.SZ,烽火电子,"大飞机,军工,军民融合,卫星导航","大飞机,卫星导航","军工,军民融合",
600100.SH,同方股份,"大数据,区块链,军工,养老,在线教育,参股券商,北交所,节能照明,融资融券,安防,网络安全,参股新三板,央企国资改革,智慧城市,土壤修复,国产操作系统,互联网保险,数字经济,智能家居,移动支付,PPP,创投,云计算,物联网","大数据,区块链,养老,智能家居,网络安全,移动支付,在线教育,云计算,节能照明,物联网,土壤修复,安防,互联网保险","军工,数字经济,央企国资改革,PPP,智慧城市,国产操作系统","创投,参股新三板,参股券商,北交所,融资融券"
002243.SZ,力合科创,"大数据,可降解塑料,锂电池,冷链物流,物业管理,深圳国资改革,芯片,创投,石墨烯,深股通,融资融券","大数据,可降解塑料,锂电池,冷链物流,物业管理,石墨烯,芯片",,"创投,深股通,融资融券"
300577.SZ,开润股份,"小米,人民币贬值受益,电子商务,体育产业,露营经济","电子商务,体育产业","小米,露营经济",人民币贬值受益
002889.SZ,东方嘉盛,"统一大市场,大数据,生物疫苗,冷链物流,电子商务,自由贸易港,跨境电商,一带一路,供应链金融,智能物流","大数据,生物疫苗,冷链物流,电子商务,跨境电商,供应链金融,智能物流","统一大市场,一带一路",
603608.SH,天创时尚,"抖音,电子商务,机器人,新零售,C2M,文化传媒,网红经济","文化传媒,电子商务,C2M,机器人","新零售,抖音,网红经济",
601116.SH,三江购物,"共同富裕示范区,半年报预增,电子商务,社区团购,新零售,预制菜,阿里巴巴,融资融券","电子商务,预制菜","新零售,社区团购,阿里巴巴","半年报预增,融资融券"
301139.SZ,元道通信,"智能交通,华为,机器人,智慧城市,国产软件,融资融券,车联网,人工智能,新股与次新股,注册制次新股","车联网,人工智能,智能交通,机器人","华为,智慧城市,国产软件","新股与次新股,注册制次新股,融资融券"
600658.SH,电子城,"集成电路,参股新三板,北交所",集成电路,,"参股新三板,北交所"
001211.SZ,双枪科技,"新零售,电子商务,露营经济",电子商务,"新零售,露营经济",
002494.SZ,华斯股份,"室外经济,雄安新区,节能环保,特色小镇,电子商务,网络直播,网红经济","电子商务,网络直播,节能环保","室外经济,特色小镇,网红经济",
000790.SZ,华神科技,"医美,眼科医疗,融资融券,流感,一带一路,装配式建筑,健康中国,超级真菌,生物医药","医美,眼科医疗,生物医药,装配式建筑","流感,一带一路,超级真菌,健康中国",融资融券
300983.SZ,尤安设计,"送转填权,新型城镇化,融资融券",,新型城镇化,"送转填权,融资融券"
002701.SZ,奥瑞金,"足球,体育产业,冰雪产业,工业大麻,啤酒,深股通,预制菜,融资融券,标普道琼斯A股,债转股(AMC)","足球,体育产业,工业大麻,冰雪产业,啤酒,预制菜",,"标普道琼斯A股,深股通,债转股(AMC),融资融券"
300168.SZ,万达信息,"区块链,互联网医疗,MSCI,养老,电子身份证,数字乡村,在线教育,深股通,融资融券,安防,家庭医生,智慧政务,智能医疗,网络安全,疫情监测,智慧城市,智能交通,健康中国,华为,虚拟数字人,云计算,DRG/DIP,国产软件,数据中心","区块链,智能交通,智能医疗,虚拟数字人,互联网医疗,养老,网络安全,在线教育,云计算,DRG/DIP,数据中心,安防,家庭医生","疫情监测,华为,电子身份证,数字乡村,智慧城市,国产软件,健康中国,智慧政务","深股通,MSCI,融资融券"
688505.SH,复旦张江,"沪股通,生物医药,融资融券",生物医药,,"沪股通,融资融券"
603111.SH,康尼机电,"高端装备,工业互联网,一带一路,新能源汽车,高铁","新能源汽车,工业互联网,高端装备,高铁",一带一路,
002671.SZ,龙泉股份,"水利,高端装备,地下管网,核电,风电,新型城镇化","水利,高端装备,地下管网,核电,风电",新型城镇化,
600059.SH,古越龙山,"杭州亚运会,参股新三板,融资融券",,杭州亚运会,"参股新三板,融资融券"
000096.SZ,广聚能源,"粤港澳大湾区,深圳国资改革",,,
002191.SZ,劲嘉股份,"区块链,食品安全,蚂蚁金服,烟草,新型烟草,深股通,物联网,融资融券,标普道琼斯A股","区块链,烟草,新型烟草,物联网","食品安全,蚂蚁金服","标普道琼斯A股,深股通,融资融券"
300698.SZ,万马科技,"5G,智能医疗,互联网医疗,智慧城市,物联网,数据中心,车联网","5G,智能医疗,互联网医疗,物联网,数据中心,车联网",智慧城市,
002058.SZ,威尔泰,"举牌,特斯拉,摘帽,传感器,创投,核电,壳资源","核电,传感器",特斯拉,"摘帽,壳资源,创投"
600182.SH,S*ST佳通,"黑龙江自贸区,ST板块",,,ST板块
002621.SZ,美吉姆,"三胎,在线教育,托育服务,融资融券,标普道琼斯A股","在线教育,托育服务",三胎,"标普道琼斯A股,融资融券"
300947.SZ,德必集团,"送转填权,元宇宙,物业管理,融资融券","元宇宙,物业管理",,"送转填权,融资融券"
603191.SH,望变电气,"半年报预增,特钢,核准制次新股,一带一路,新材料,新股与次新股","新材料,特钢",一带一路,"核准制次新股,半年报预增,新股与次新股"
300076.SZ,GQY视讯,"创业板重组松绑,安防,专精特新,OLED,机器人,MiniLED,冬奥会,人工智能","OLED,机器人,MiniLED,安防,人工智能","冬奥会,专精特新",创业板重组松绑
300601.SZ,康泰生物,"生物疫苗,肝炎,送转填权,MSCI,禽流感,深股通,融资融券","生物疫苗,肝炎",禽流感,"送转填权,深股通,MSCI,融资融券"
002317.SZ,众生药业,"猴痘,肝炎,眼科医疗,NMN,幽门螺杆菌,禽流感,深股通,仿制药一致性评价,新冠治疗,参股新三板,融资融券,标普道琼斯A股,流感,生物医药","肝炎,眼科医疗,NMN,幽门螺杆菌,仿制药一致性评价,生物医药","禽流感,流感,新冠治疗,猴痘","标普道琼斯A股,参股新三板,深股通,融资融券"
603759.SH,海天股份,"钠离子电池,PPP,固废处理,生物质能发电,污水处理,储能","钠离子电池,固废处理,生物质能发电,污水处理,储能",PPP,
600249.SH,两面针,"参股银行,参股券商,生物医药",生物医药,,"参股银行,参股券商"
688353.SH,华盛锂电,"锂电池,专精特新,科创次新股,有机硅,融资融券,比亚迪,宁德时代,新股与次新股","有机硅,锂电池","比亚迪,专精特新,宁德时代","新股与次新股,科创次新股,融资融券"
688182.SH,灿勤科技,"5G,专精特新,华为,科创次新股,融资融券,国家大基金持股,新股与次新股,卫星导航","5G,卫星导航","华为,专精特新","国家大基金持股,新股与次新股,科创次新股,融资融券"
002693.SZ,双成药业,"辅助生殖,海南自贸区,肝炎","辅助生殖,肝炎",,
688509.SH,正元地信,"地下管网,央企国资改革,华为欧拉,PPP,智慧城市,物联网,融资融券","地下管网,物联网","智慧城市,央企国资改革,华为欧拉,PPP",融资融券
688266.SH,泽璟制药,"新冠治疗,融资融券",,新冠治疗,融资融券
000543.SZ,皖能电力,"光伏,抽水蓄能,半年报预增,超超临界发电,参股银行,碳交易,核电,深股通,参股券商,融资融券,标普道琼斯A股,天然气,储能","光伏,抽水蓄能,超超临界发电,核电,天然气,储能",碳交易,"半年报预增,参股银行,深股通,参股券商,融资融券,标普道琼斯A股"
837821.BJ,则成电子,新股与次新股,,,新股与次新股
605259.SH,绿田机械,"人民币贬值受益,新能源汽车",新能源汽车,,人民币贬值受益
300482.SZ,万孚生物,"新冠检测,猴痘,基因测序,肝炎,人民币贬值受益,MSCI,三胎,芬太尼,工业大麻,幽门螺杆菌,流感,深股通,融资融券,辅助生殖,医疗器械,生物医药","基因测序,肝炎,工业大麻,芬太尼,幽门螺杆菌,辅助生殖,医疗器械,生物医药","流感,新冠检测,猴痘,三胎","人民币贬值受益,深股通,MSCI,融资融券"
300783.SZ,三只松鼠,"宠物经济,专精特新,食品安全,电子商务,三胎,网络直播,新零售,深股通,网红经济","电子商务,网络直播","宠物经济,专精特新,食品安全,三胎,新零售,网红经济",深股通
600277.SH,亿利洁能,"光伏,充电桩,节能环保,标普道琼斯A股,化肥,绿色电力,风电,融资融券,氢能源,储能,煤化工","充电桩,光伏,节能环保,氢能源,风电,绿色电力,化肥,储能,煤化工",,"标普道琼斯A股,融资融券"
688004.SH,博汇科技,"超清视频,大数据,在线教育,云计算,国产软件,融资融券,冬奥会,人工智能,文化传媒","超清视频,大数据,在线教育,云计算,文化传媒,人工智能","冬奥会,国产软件",融资融券
300755.SZ,华致酒行,"新零售,深股通",,新零售,深股通
300369.SZ,绿盟科技,"车联网,华为,工业互联网,网络安全,华为欧拉,独角兽,华为鲲鹏,深股通,云计算,腾讯,国产软件,融资融券,国产操作系统,数据安全","数据安全,工业互联网,网络安全,云计算,车联网","华为,华为欧拉,华为鲲鹏,腾讯,国产软件,国产操作系统","深股通,独角兽,融资融券"
000410.SZ,*ST沈机,"高端装备,央企国资改革,工业互联网,机器人,工业4.0,ST板块,腾讯,债转股(AMC),工业母机","工业母机,工业互联网,高端装备,机器人","工业4.0,腾讯,央企国资改革","ST板块,债转股(AMC)"
600612.SH,老凤祥,"沪股通,黄金,上海国资改革,小金属,融资融券,标普道琼斯A股","黄金,小金属",,"标普道琼斯A股,沪股通,融资融券"
600019.SH,宝钢股份,"沪股通,石墨电极,同花顺漂亮100,参股银行,特斯拉,央企国资改革,MSCI,核电,证金持股,融资融券,标普道琼斯A股","石墨电极,核电","特斯拉,央企国资改革","沪股通,参股银行,MSCI,证金持股,融资融券,标普道琼斯A股"
002627.SZ,三峡旅游,"网约车,特色小镇",网约车,特色小镇,
600196.SH,复星医药,"互联网医疗,MSCI,融资融券,家庭医生,民营医院,猴痘,细胞免疫治疗,机器人,流感,辅助生殖,生物医药,青蒿素,标普道琼斯A股,医疗器械,分拆上市意愿,沪股通,生物疫苗,医美,新冠检测,仿制药一致性评价,新冠治疗","生物疫苗,医美,细胞免疫治疗,互联网医疗,青蒿素,机器人,仿制药一致性评价,辅助生殖,家庭医生,医疗器械,生物医药","新冠检测,猴痘,流感,新冠治疗,民营医院","沪股通,MSCI,融资融券,标普道琼斯A股,分拆上市意愿"
605599.SH,菜百股份,"冬奥会,电子商务,黄金,网络直播","黄金,电子商务,网络直播",冬奥会,
603351.SH,威尔药业,标普道琼斯A股,,,标普道琼斯A股
600963.SH,岳阳林纸,"碳中和,雄安新区,碳交易,央企国资改革,PPP,工业大麻,污水处理,融资融券","污水处理,工业大麻","碳交易,碳中和,央企国资改革,PPP",融资融券
600455.SH,博通股份,"职业教育,国产软件",职业教育,国产软件,
300173.SZ,福能东方,"无线耳机,锂电池,机器人,工业4.0,数据中心,新能源汽车,宁德时代","无线耳机,锂电池,机器人,数据中心,新能源汽车","工业4.0,宁德时代",
603199.SH,九华旅游,"在线旅游,电子商务","在线旅游,电子商务",,
300877.SZ,金春股份,"口罩,融资融券",口罩,,融资融券
000555.SZ,神州信息,"大数据,区块链,量子科技,跨境支付（CIPS）,华为,网络安全,融资融券,华为鲲鹏,数字乡村,云计算,边缘计算,数字货币,深股通,标普道琼斯A股,国产软件,人工智能,智慧城市,物联网","大数据,区块链,量子科技,跨境支付（CIPS）,网络安全,云计算,边缘计算,数字货币,物联网,人工智能","华为,数字乡村,智慧城市,国产软件,华为鲲鹏","标普道琼斯A股,深股通,融资融券"
601168.SH,西部矿业,"沪股通,黄金,锂电池,金属锌,金属铜,MSCI,金属铅,盐湖提锂,小金属,钒电池,融资融券,标普道琼斯A股,金属镍","黄金,锂电池,金属锌,金属铜,金属铅,盐湖提锂,小金属,钒电池,金属镍",,"标普道琼斯A股,MSCI,沪股通,融资融券"
600984.SH,建设机械,"沪股通,一带一路",,一带一路,沪股通
688685.SH,迈信林,"军工,航空发动机,融资融券",航空发动机,军工,融资融券
002556.SZ,辉隆股份,"医美,农村电商,毛发医疗,电子商务,乡村振兴,磷化工,深股通,融资融券,化肥,土地流转,煤化工","医美,毛发医疗,电子商务,磷化工,化肥,煤化工","乡村振兴,土地流转,农村电商","深股通,融资融券"
601187.SH,厦门银行,沪股通,,,沪股通
600613.SH,神奇制药,"超级真菌,生物医药",生物医药,超级真菌,
603660.SH,苏州科达,"超清视频,大数据,云办公,智能交通,人脸识别,量子科技,无人机,标普道琼斯A股,在线教育,智慧城市,国产软件,物联网,融资融券,安防,人工智能","超清视频,大数据,云办公,量子科技,人脸识别,智能交通,无人机,在线教育,物联网,安防,人工智能","智慧城市,国产软件","标普道琼斯A股,融资融券"
688625.SH,呈和科技,"专精特新,新材料,融资融券",新材料,专精特新,融资融券
300419.SZ,浩丰科技,"创业板重组松绑,大数据,抖音,量子科技,快手,军工,华为,网络安全,云计算,国产软件,数据中心","大数据,量子科技,网络安全,云计算,数据中心","抖音,军工,快手,华为,国产软件",创业板重组松绑
002576.SZ,通达动力,"专精特新,特高压,机器人,风电,新能源汽车,比亚迪,壳资源","新能源汽车,风电,特高压,机器人","比亚迪,专精特新",壳资源
688018.SH,乐鑫科技,"上海自贸区,机器人,芯片,MCU芯片,融资融券,物联网,集成电路,WiFi6","机器人,芯片,物联网,MCU芯片,集成电路",,融资融券
300671.SZ,富满微,"无线耳机,5G,先进封装（Chiplet）,专精特新,汽车芯片,芯片,MiniLED,深股通,MCU芯片,融资融券,集成电路,第三代半导体,WiFi6","无线耳机,5G,先进封装（Chiplet）,汽车芯片,芯片,MiniLED,MCU芯片,集成电路,第三代半导体",专精特新,"深股通,融资融券"
300677.SZ,英科医疗,"人民币贬值受益,MSCI,融资融券,深股通,健康中国,口罩,医疗器械","口罩,医疗器械",健康中国,"人民币贬值受益,深股通,MSCI,融资融券"
300862.SZ,蓝盾光电,"PM2.5,碳中和,军工,节能环保,专精特新,传感器,PPP,智慧城市,融资融券,冬奥会,智能交通","PM2.5,智能交通,节能环保,传感器","军工,碳中和,专精特新,PPP,智慧城市,冬奥会",融资融券
000700.SZ,模塑科技,"恒大,特斯拉,民营医院,融资融券",,"恒大,特斯拉,民营医院",融资融券
002780.SZ,三夫户外,"电子商务,体育产业,露营经济,冰雪产业,冬奥会,口罩","口罩,电子商务,体育产业,冰雪产业","冬奥会,露营经济",
688590.SH,新致软件,"大数据,区块链,跨境支付（CIPS）,云计算,融资融券,新能源汽车,人工智能","大数据,区块链,跨境支付（CIPS）,云计算,新能源汽车,人工智能",,融资融券
002287.SZ,奇正藏药,"深股通,生物医药,融资融券",生物医药,,"深股通,融资融券"
000838.SZ,财信发展,"租售同权,电子商务,固废处理,污水处理,粤港澳大湾区","固废处理,电子商务,污水处理",租售同权,
601163.SH,三角轮胎,"大飞机,胎压监测,军工,融资融券","大飞机,胎压监测",军工,融资融券
601019.SH,山东出版,"沪股通,文化传媒,标普道琼斯A股",文化传媒,,"标普道琼斯A股,沪股通"
300306.SZ,远方信息,"军工,人脸识别,华为,专精特新,OLED,移动支付,机器人,节能照明,无人零售","人脸识别,OLED,移动支付,机器人,节能照明,无人零售","华为,军工,专精特新",
300176.SZ,派生科技,"垃圾分类,特斯拉,新能源汽车,供应链金融,粤港澳大湾区,宁德时代","新能源汽车,垃圾分类,供应链金融","宁德时代,特斯拉",
300500.SZ,启迪设计,"创业板重组松绑,光伏,雄安新区,医疗废物处理,虚拟现实,虚拟数字人,建筑节能,光伏建筑一体化,乡村振兴,装配式建筑,数据中心,储能,新型城镇化","光伏,医疗废物处理,虚拟现实,虚拟数字人,建筑节能,光伏建筑一体化,装配式建筑,数据中心,储能","乡村振兴,新型城镇化",创业板重组松绑
300849.SZ,锦盛新材,"可降解塑料,人民币贬值受益",可降解塑料,,人民币贬值受益
605303.SH,园林股份,"共同富裕示范区,雄安新区,PPP,乡村振兴,新型城镇化",,"乡村振兴,新型城镇化,PPP",
300615.SZ,欣天科技,"华为,5G,新能源汽车","5G,新能源汽车",华为,
